BAGGAGE_ID,BOOKING_ID,BAGGAGE_WEIGHT,BAGGAGE_STATUS,CHECKEDIN_AT
2134,1195,35.48,Checked-In,2025-02-24 09:51:00
2135,1376,15.09,Checked-In,2025-08-09 17:28:00
2136,1201,22.74,Pending,2025-05-13 14:42:00
2137,1214,35.4,Pending,2025-01-04 13:21:00
2138,1399,32.91,Checked-In,2025-06-09 01:01:00
2139,1424,29.25,Rejected,2025-05-24 21:07:00
2140,1243,36.61,Rejected,2025-09-05 16:45:00
2141,1098,13.77,Checked-In,2025-07-25 09:20:00
2142,1245,20.22,Rejected,2025-12-13 22:51:00
2143,1356,36.73,Checked-In,2025-10-27 22:48:00
2144,1392,25.51,Pending,2025-09-22 06:44:00
2145,1391,36.74,Checked-In,2025-01-26 19:10:00
2146,1216,18.78,Rejected,2025-09-15 15:14:00
2147,1481,30.36,Pending,2025-02-24 23:08:00
2148,1134,7.28,Checked-In,2025-04-17 02:24:00
2149,1278,25.67,Pending,2025-03-09 20:22:00
2150,1322,38.88,Checked-In,2025-02-25 11:53:00
2151,1110,13.77,Rejected,2025-09-25 09:51:00
2152,1415,10.91,Rejected,2025-05-07 05:24:00
2153,1025,39.21,Rejected,2025-03-06 08:52:00
2154,1003,30.12,Checked-In,2025-03-04 03:09:00
2155,1198,24.89,Rejected,2025-07-30 00:31:00
2156,1419,30.38,Checked-In,2025-10-02 07:38:00
2157,1448,24.14,Rejected,2025-11-28 05:17:00
2158,1115,7.66,Rejected,2025-10-15 03:43:00
2159,1058,38.3,Pending,2025-01-25 20:23:00
2160,1219,33.47,Checked-In,2025-12-01 00:30:00
2161,1437,8.68,Rejected,2025-06-18 06:50:00
2162,1122,35.51,Rejected,2025-06-06 02:55:00
2163,1314,38.64,Pending,2025-11-28 19:33:00
2164,1016,11.8,Pending,2025-12-18 00:08:00
2165,1003,14.06,Checked-In,2025-07-13 09:24:00
2166,1034,8.19,Rejected,2025-06-19 11:58:00
2167,1113,24.81,Pending,2025-10-24 21:17:00
2168,1399,20.73,Checked-In,2025-10-21 09:04:00
2169,1213,24.52,Pending,2025-06-01 15:33:00
2170,1386,8.5,Rejected,2025-07-07 15:44:00
2171,1032,24.62,Rejected,2025-02-22 05:26:00
2172,1381,12.71,Rejected,2025-10-10 03:01:00
2173,1392,37.54,Rejected,2025-10-13 10:32:00
2174,1114,29.78,Rejected,2025-05-22 14:10:00
2175,1109,34.93,Pending,2025-08-20 22:45:00
2176,1358,19.28,Rejected,2025-09-22 08:28:00
2177,1173,27.48,Rejected,2025-05-06 05:36:00
2178,1205,6.74,Rejected,2025-09-03 19:55:00
2179,1430,7.79,Checked-In,2025-11-05 05:59:00
2180,1047,9.55,Checked-In,2025-03-30 11:27:00
2181,1225,35.98,Pending,2025-09-07 03:27:00
2182,1347,33.84,Checked-In,2025-07-19 01:39:00
2183,1450,28.24,Checked-In,2025-09-06 23:50:00
2184,1303,22.6,Pending,2025-04-15 21:08:00
2185,1405,11.69,Checked-In,2025-06-15 15:58:00
2186,1361,6.87,Rejected,2025-09-05 02:01:00
2187,1191,26.61,Rejected,2025-01-23 15:30:00
2188,1075,30.64,Checked-In,2025-11-09 11:15:00
2189,1280,20.87,Rejected,2025-11-24 00:40:00
2190,1311,26.57,Rejected,2025-12-07 22:22:00
2191,1063,7.05,Rejected,2025-10-11 06:40:00
2192,1364,21.66,Checked-In,2025-10-18 18:56:00
2193,1271,33.59,Checked-In,2025-04-03 00:35:00
2194,1057,25.16,Checked-In,2025-07-30 07:41:00
2195,1292,17.18,Checked-In,2025-08-13 14:16:00
2196,1019,16.2,Checked-In,2025-10-12 17:23:00
2197,1131,19.61,Pending,2025-06-22 23:30:00
2198,1440,28.83,Pending,2025-04-04 09:08:00
2199,1083,5.11,Pending,2025-02-15 00:52:00
2200,1195,16.41,Rejected,2025-11-08 00:19:00
2201,1239,19.81,Rejected,2025-04-06 08:48:00
2202,1361,15.31,Rejected,2025-05-11 05:17:00
2203,1173,20.28,Rejected,2025-07-26 01:07:00
2204,1201,38.78,Rejected,2025-03-12 16:41:00
2205,1386,10.21,Rejected,2025-05-05 09:28:00
2206,1452,15.97,Checked-In,2025-08-06 18:12:00
2207,1412,7.5,Rejected,2025-10-01 14:25:00
2208,1199,22.45,Pending,2025-03-26 07:10:00
2209,1286,7.79,Rejected,2025-09-17 16:31:00
2210,1205,33.08,Rejected,2025-06-05 04:45:00
2211,1196,26.28,Pending,2025-08-09 11:42:00
2212,1165,28.1,Rejected,2025-07-19 04:32:00
2213,1019,13.14,Pending,2025-05-01 17:31:00
2214,1231,19.82,Pending,2025-01-26 04:26:00
2215,1389,25.21,Rejected,2025-12-01 09:26:00
2216,1209,14.42,Checked-In,2025-08-22 15:32:00
2217,1383,7.09,Pending,2025-12-23 01:01:00
2218,1242,14.54,Pending,2025-04-29 13:20:00
2219,1013,8.77,Pending,2025-07-02 21:59:00
2220,1428,17.56,Pending,2025-04-23 04:24:00
2221,1423,27.73,Rejected,2025-05-25 17:08:00
2222,1370,38.3,Checked-In,2025-01-01 21:45:00
2223,1176,29.8,Checked-In,2025-08-22 19:57:00
2224,1266,22.96,Checked-In,2025-12-07 20:42:00
2225,1335,27.39,Rejected,2025-12-26 09:30:00
2226,1005,8.12,Checked-In,2025-10-11 11:16:00
2227,1402,26.51,Checked-In,2025-06-05 09:05:00
2228,1008,15.69,Rejected,2025-02-17 11:17:00
2229,1094,8.68,Pending,2025-11-01 11:07:00
2230,1207,33.02,Rejected,2025-02-10 23:46:00
2231,1299,34.72,Rejected,2025-02-26 13:34:00
2232,1500,9.31,Checked-In,2025-03-13 00:48:00
2233,1274,37.77,Checked-In,2025-08-23 02:54:00
2234,1467,38.47,Checked-In,2025-12-18 19:32:00
2235,1414,13.94,Checked-In,2025-10-19 21:21:00
2236,1056,14.76,Checked-In,2025-03-29 17:24:00
2237,1284,17.85,Checked-In,2025-02-02 07:17:00
2238,1028,23.44,Pending,2025-03-20 08:31:00
2239,1045,7.45,Pending,2025-12-04 15:44:00
2240,1223,31.06,Rejected,2025-06-02 20:31:00
2241,1368,10.22,Rejected,2025-09-06 05:44:00
2242,1025,30.92,Pending,2025-02-11 18:33:00
2243,1120,26.86,Rejected,2025-01-28 14:46:00
2244,1188,35.13,Pending,2025-07-03 20:51:00
2245,1054,9.96,Rejected,2025-07-29 00:05:00
2246,1307,19.04,Rejected,2025-07-21 09:16:00
2247,1009,10.73,Pending,2025-10-06 00:14:00
2248,1422,23.7,Checked-In,2025-07-03 02:59:00
2249,1155,36.46,Checked-In,2025-01-24 09:35:00
2250,1009,14.9,Pending,2025-05-24 06:25:00
2251,1373,36.02,Rejected,2025-04-18 23:00:00
2252,1437,8.65,Rejected,2025-08-28 01:22:00
2253,1194,11.47,Pending,2025-11-08 17:14:00
2254,1016,9.54,Rejected,2025-10-01 22:15:00
2255,1043,33.22,Pending,2025-05-26 11:19:00
2256,1330,34.91,Checked-In,2025-09-04 08:35:00
2257,1369,30.8,Checked-In,2025-04-10 21:56:00
2258,1256,6.43,Pending,2025-07-22 03:47:00
2259,1236,21.1,Rejected,2025-09-26 01:40:00
2260,1484,19.27,Rejected,2025-10-29 09:01:00
2261,1460,27.23,Pending,2025-04-26 23:19:00
2262,1205,28.01,Pending,2025-08-07 14:16:00
2263,1301,24.19,Rejected,2025-08-30 16:59:00
2264,1061,35.11,Rejected,2025-05-17 17:02:00
2265,1065,22.37,Rejected,2025-04-15 06:19:00
2266,1306,8.44,Pending,2025-04-27 18:52:00
2267,1352,23.2,Checked-In,2025-10-18 05:29:00
2268,1067,9.53,Rejected,2025-09-18 09:07:00
2269,1017,35.83,Checked-In,2025-01-24 17:54:00
2270,1018,10.22,Pending,2025-12-23 15:58:00
2271,1340,12.81,Pending,2025-01-14 00:11:00
2272,1497,15.51,Pending,2025-05-11 14:29:00
2273,1357,21.19,Rejected,2025-07-16 13:39:00
2274,1304,33.22,Rejected,2025-12-03 03:31:00
2275,1154,9.98,Rejected,2025-11-28 22:16:00
2276,1216,18.18,Checked-In,2025-04-18 09:15:00
2277,1367,33.26,Rejected,2025-11-09 16:47:00
2278,1078,21.72,Checked-In,2025-06-05 15:49:00
2279,1294,24.19,Checked-In,2025-11-09 11:00:00
2280,1463,6.61,Checked-In,2025-01-20 03:39:00
2281,1349,18.97,Checked-In,2025-02-13 01:36:00
2282,1417,14.93,Rejected,2025-02-04 12:10:00
2283,1207,20.8,Rejected,2025-10-24 23:07:00
2284,1250,24.55,Rejected,2025-03-14 08:50:00
2285,1008,14.35,Pending,2025-01-21 11:39:00
2286,1243,18.32,Checked-In,2025-11-02 13:04:00
2287,1047,23.96,Pending,2025-02-05 09:36:00
2288,1045,5.6,Pending,2025-04-09 02:29:00
2289,1028,37.88,Pending,2025-05-23 05:29:00
2290,1144,11.95,Checked-In,2025-11-25 23:57:00
2291,1211,12.04,Checked-In,2025-05-14 21:35:00
2292,1046,33.81,Checked-In,2025-10-06 11:58:00
2293,1340,7.08,Checked-In,2025-03-21 16:20:00
2294,1203,23.34,Checked-In,2025-10-22 02:39:00
2295,1056,11.12,Checked-In,2025-10-29 20:19:00
2296,1366,16.69,Rejected,2025-07-30 02:22:00
2297,1035,28.29,Checked-In,2025-03-07 02:07:00
2298,1338,22.95,Pending,2025-09-11 03:35:00
2299,1145,10.51,Rejected,2025-03-17 19:49:00
2300,1424,38.98,Rejected,2025-12-17 09:04:00
2301,1494,36.22,Pending,2025-11-12 08:12:00
2302,1156,31.75,Rejected,2025-02-20 17:14:00
2303,1382,38.48,Rejected,2025-08-29 00:30:00
2304,1066,14.86,Rejected,2025-07-25 10:39:00
2305,1097,23.66,Pending,2025-02-21 18:30:00
2306,1199,37.33,Checked-In,2025-02-26 04:39:00
2307,1171,10.99,Rejected,2025-05-22 10:01:00
2308,1151,16.53,Checked-In,2025-03-14 03:46:00
2309,1215,37.91,Pending,2025-01-25 07:49:00
2310,1157,18.08,Rejected,2025-01-06 13:41:00
2311,1431,8.96,Checked-In,2025-04-11 10:32:00
2312,1188,10.73,Pending,2025-12-28 03:20:00
2313,1435,16.68,Checked-In,2025-09-14 22:55:00
2314,1358,20.28,Pending,2025-04-20 12:49:00
2315,1496,30.7,Checked-In,2025-03-19 17:44:00
2316,1163,5.67,Pending,2025-08-20 17:12:00
2317,1422,28.92,Pending,2025-09-07 21:13:00
2318,1478,9.35,Checked-In,2025-04-21 14:53:00
2319,1023,31.32,Pending,2025-02-08 07:10:00
2320,1473,23.41,Rejected,2025-09-19 15:48:00
2321,1141,22.44,Rejected,2025-09-07 08:56:00
2322,1373,8.62,Checked-In,2025-07-01 05:06:00
2323,1144,37.67,Rejected,2025-01-04 04:40:00
2324,1009,39.47,Pending,2025-05-04 15:35:00
2325,1245,37.16,Pending,2025-06-28 06:19:00
2326,1388,28.57,Pending,2025-05-09 05:17:00
2327,1439,14.32,Checked-In,2025-05-23 03:29:00
2328,1373,34.29,Checked-In,2025-02-13 13:20:00
2329,1247,13.66,Pending,2025-09-17 07:05:00
2330,1342,17.52,Checked-In,2025-06-17 23:53:00
2331,1451,38.96,Pending,2025-12-26 11:04:00
2332,1069,18.79,Checked-In,2025-03-28 00:42:00
2333,1256,35.86,Checked-In,2025-02-07 13:34:00
2334,1213,35.44,Pending,2025-10-27 12:13:00
2335,1324,30.09,Rejected,2025-07-27 08:38:00
2336,1074,37.39,Rejected,2025-05-05 13:59:00
2337,1172,36.47,Checked-In,2025-12-26 17:55:00
2338,1286,21.98,Checked-In,2025-02-09 21:03:00
2339,1103,23.32,Checked-In,2025-02-08 17:06:00
2340,1138,15.91,Pending,2025-03-18 19:13:00
2341,1267,6.65,Pending,2025-11-11 04:44:00
2342,1296,30.79,Rejected,2025-11-28 15:32:00
2343,1020,28.26,Checked-In,2025-04-10 13:44:00
2344,1065,14.53,Checked-In,2025-09-25 08:42:00
2345,1032,10.0,Checked-In,2025-07-10 20:51:00
2346,1492,8.87,Checked-In,2025-06-21 00:29:00
2347,1028,11.93,Rejected,2025-07-07 01:15:00
2348,1429,34.28,Rejected,2025-02-02 10:45:00
2349,1176,20.93,Rejected,2025-10-12 02:20:00
2350,1493,32.58,Rejected,2025-01-23 17:34:00
2351,1423,7.63,Pending,2025-06-28 05:24:00
2352,1001,20.95,Pending,2025-09-07 10:33:00
2353,1309,31.51,Rejected,2025-12-15 15:53:00
2354,1473,24.28,Pending,2025-11-27 15:37:00
2355,1449,35.39,Rejected,2025-05-02 01:27:00
2356,1457,24.58,Rejected,2025-05-29 06:08:00
2357,1360,20.94,Checked-In,2025-09-02 21:53:00
2358,1118,38.38,Pending,2025-02-27 00:19:00
2359,1499,28.97,Rejected,2025-02-07 00:58:00
2360,1121,32.46,Checked-In,2025-12-12 16:58:00
2361,1230,10.1,Checked-In,2025-03-31 20:05:00
2362,1387,37.24,Checked-In,2025-03-01 13:48:00
2363,1247,26.36,Checked-In,2025-06-29 23:40:00
2364,1017,36.09,Pending,2025-08-07 16:38:00
2365,1062,32.21,Pending,2025-08-29 06:48:00
2366,1225,27.92,Pending,2025-04-20 00:28:00
2367,1413,31.68,Rejected,2025-10-13 09:32:00
2368,1106,8.66,Pending,2025-11-29 07:24:00
2369,1474,20.39,Rejected,2025-01-20 05:19:00
2370,1065,10.94,Pending,2025-06-22 18:57:00
2371,1400,39.01,Rejected,2025-05-11 06:31:00
2372,1412,36.0,Checked-In,2025-08-24 09:51:00
2373,1350,17.64,Checked-In,2025-06-23 18:52:00
2374,1365,21.04,Pending,2025-05-27 05:30:00
2375,1342,17.51,Pending,2025-10-21 08:48:00
2376,1413,15.46,Pending,2025-11-20 00:35:00
2377,1081,26.4,Checked-In,2025-04-06 15:55:00
2378,1171,10.72,Pending,2025-05-08 07:01:00
2379,1152,17.55,Checked-In,2025-11-26 14:26:00
2380,1484,34.33,Pending,2025-10-06 09:41:00
2381,1391,7.79,Pending,2025-05-26 15:17:00
2382,1478,26.83,Rejected,2025-02-01 16:52:00
2383,1032,7.43,Pending,2025-10-01 08:17:00
2384,1463,20.62,Pending,2025-08-26 06:01:00
2385,1289,12.55,Rejected,2025-12-26 16:12:00
2386,1268,13.39,Checked-In,2025-05-24 03:28:00
2387,1206,34.32,Rejected,2025-01-17 16:42:00
2388,1391,5.42,Pending,2025-11-28 05:54:00
2389,1064,27.27,Rejected,2025-08-21 14:56:00
2390,1039,26.48,Pending,2025-12-22 06:50:00
2391,1368,23.89,Checked-In,2025-05-27 18:56:00
2392,1095,14.76,Pending,2025-03-13 09:00:00
2393,1332,5.09,Checked-In,2025-01-07 04:35:00
2394,1348,12.82,Pending,2025-05-24 04:57:00
2395,1150,7.9,Checked-In,2025-08-24 20:53:00
2396,1179,24.28,Checked-In,2025-06-20 03:48:00
2397,1310,34.97,Rejected,2025-10-22 23:16:00
2398,1352,15.49,Pending,2025-07-28 04:23:00
2399,1080,19.68,Rejected,2025-03-29 07:34:00
2400,1045,32.01,Pending,2025-06-25 12:53:00
2401,1462,9.35,Rejected,2025-08-22 05:52:00
2402,1186,32.95,Checked-In,2025-12-10 11:17:00
2403,1281,29.23,Pending,2025-12-03 17:07:00
2404,1065,11.77,Pending,2025-03-04 14:03:00
2405,1497,25.55,Pending,2025-08-05 23:18:00
2406,1184,24.08,Rejected,2025-08-09 00:08:00
2407,1294,10.24,Pending,2025-04-08 08:41:00
2408,1253,19.22,Rejected,2025-10-08 19:58:00
2409,1305,18.83,Rejected,2025-07-15 02:22:00
2410,1050,17.65,Rejected,2025-01-09 05:28:00
2411,1017,31.79,Pending,2025-08-22 22:13:00
2412,1376,27.24,Rejected,2025-02-13 05:01:00
2413,1249,20.87,Pending,2025-11-15 03:07:00
2414,1283,18.55,Rejected,2025-06-04 16:21:00
2415,1022,24.48,Checked-In,2025-09-14 11:03:00
2416,1474,23.33,Rejected,2025-03-24 05:39:00
2417,1441,36.75,Checked-In,2025-03-02 01:12:00
2418,1235,14.31,Pending,2025-04-11 00:51:00
2419,1316,33.19,Pending,2025-09-21 03:46:00
2420,1064,30.65,Rejected,2025-07-05 11:51:00
2421,1441,26.22,Rejected,2025-12-08 13:20:00
2422,1055,5.02,Checked-In,2025-01-15 10:57:00
2423,1313,13.44,Pending,2025-04-11 06:53:00
2424,1164,23.21,Checked-In,2025-03-03 05:46:00
2425,1247,17.74,Rejected,2025-11-25 20:08:00
2426,1091,32.3,Pending,2025-07-06 23:39:00
2427,1137,21.78,Rejected,2025-05-13 09:18:00
2428,1110,37.65,Rejected,2025-07-13 21:21:00
2429,1258,9.05,Pending,2025-06-29 16:17:00
2430,1336,22.41,Pending,2025-05-18 05:34:00
2431,1412,36.9,Checked-In,2025-12-25 23:50:00
2432,1273,36.94,Rejected,2025-03-30 00:21:00
2433,1036,30.56,Checked-In,2025-05-27 02:48:00
2434,1119,38.71,Rejected,2025-09-16 16:02:00
2435,1315,38.67,Checked-In,2025-05-12 13:55:00
2436,1460,38.09,Checked-In,2025-04-08 04:46:00
2437,1010,14.93,Checked-In,2025-12-22 21:13:00
2438,1280,8.81,Rejected,2025-01-30 18:14:00
2439,1203,17.93,Rejected,2025-05-15 07:00:00
2440,1440,19.63,Pending,2025-12-21 22:31:00
2441,1211,9.12,Checked-In,2025-01-15 14:52:00
2442,1040,16.98,Checked-In,2025-04-23 11:57:00
2443,1290,29.28,Pending,2025-04-15 08:57:00
2444,1285,8.17,Checked-In,2025-11-08 22:28:00
2445,1208,20.89,Checked-In,2025-04-04 19:56:00
2446,1178,37.35,Checked-In,2025-01-25 11:58:00
2447,1355,8.85,Checked-In,2025-02-17 23:55:00
2448,1234,28.56,Checked-In,2025-12-08 02:13:00
2449,1062,37.96,Pending,2026-01-01 22:28:00
2450,1244,11.37,Pending,2025-09-03 07:04:00
2451,1399,10.65,Rejected,2025-09-21 01:57:00
2452,1119,22.77,Pending,2025-05-24 14:23:00
2453,1293,34.9,Rejected,2025-02-25 20:24:00
2454,1479,21.8,Checked-In,2026-01-01 19:04:00
2455,1487,10.92,Checked-In,2025-08-08 22:41:00
2456,1021,32.08,Rejected,2025-09-07 21:04:00
2457,1351,8.54,Pending,2025-01-07 03:31:00
2458,1368,35.46,Rejected,2025-01-10 08:26:00
2459,1308,19.48,Pending,2025-06-18 08:29:00
2460,1217,22.49,Pending,2025-07-17 14:19:00
2461,1248,7.28,Rejected,2025-07-14 07:05:00
2462,1494,14.76,Pending,2025-09-10 21:31:00
2463,1186,18.28,Checked-In,2025-11-16 10:16:00
2464,1036,32.36,Pending,2025-01-22 14:51:00
2465,1417,21.56,Checked-In,2025-02-03 19:44:00
2466,1345,22.73,Checked-In,2025-09-11 06:45:00
2467,1296,19.19,Checked-In,2025-06-09 18:41:00
2468,1435,5.47,Rejected,2025-12-07 01:59:00
2469,1130,16.51,Rejected,2025-05-10 23:06:00
2470,1286,15.68,Checked-In,2025-04-21 05:41:00
2471,1227,19.46,Pending,2025-06-10 04:29:00
2472,1006,12.68,Checked-In,2025-10-11 23:54:00
2473,1103,29.07,Pending,2025-06-21 05:30:00
2474,1486,38.94,Checked-In,2025-11-23 06:56:00
2475,1363,7.9,Checked-In,2025-04-07 02:11:00
2476,1093,15.71,Pending,2025-08-20 02:27:00
2477,1464,33.2,Pending,2025-04-26 14:46:00
2478,1011,19.48,Pending,2025-08-11 10:35:00
2479,1102,24.84,Rejected,2025-06-30 15:17:00
2480,1402,23.2,Rejected,2025-05-25 11:44:00
2481,1350,24.76,Checked-In,2025-08-29 03:19:00
2482,1344,24.48,Pending,2025-10-15 06:08:00
2483,1352,17.97,Rejected,2025-02-27 10:49:00
2484,1060,23.17,Pending,2025-08-19 02:17:00
2485,1487,14.92,Pending,2025-05-27 21:43:00
2486,1041,33.71,Rejected,2025-01-11 07:43:00
2487,1206,5.58,Rejected,2025-11-09 06:23:00
2488,1166,22.33,Pending,2025-10-30 09:36:00
2489,1366,5.32,Checked-In,2025-06-29 18:42:00
2490,1055,35.57,Pending,2025-04-01 05:45:00
2491,1255,12.8,Rejected,2025-01-26 02:13:00
2492,1108,27.79,Checked-In,2025-08-19 17:52:00
2493,1260,30.87,Checked-In,2025-09-10 13:51:00
2494,1113,23.07,Pending,2025-11-23 04:09:00
2495,1413,22.97,Pending,2025-03-19 07:55:00
