ALERT_ID,FLIGHT_ID,DELAY_REASON,DELAY_DURATION,ALERT_STATUS
3310,568,Weather Issue,91,Resolved
3311,581,Technical Problem,25,Resolved
3312,125,Technical Problem,119,Active
3313,309,Technical Problem,157,Resolved
3314,190,Crew Delay,44,Active
3315,553,Air Traffic,161,Resolved
3316,239,Weather Issue,171,Resolved
3317,121,Crew Delay,144,Active
3318,299,Weather Issue,137,Resolved
3319,183,Technical Problem,96,Resolved
3320,496,Crew Delay,149,Active
3321,558,Crew Delay,74,Resolved
3322,275,Technical Problem,129,Active
3323,422,Weather Issue,35,Active
3324,212,Crew Delay,36,Active
3325,136,Technical Problem,19,Active
3326,427,Crew Delay,110,Active
3327,149,Crew Delay,178,Active
3328,474,Crew Delay,180,Resolved
3329,452,Weather Issue,51,Resolved
3330,108,Crew Delay,149,Active
3331,533,Crew Delay,165,Active
3332,362,Air Traffic,75,Active
3333,355,Weather Issue,20,Resolved
3334,277,Crew Delay,170,Resolved
3335,351,Air Traffic,136,Active
3336,593,Crew Delay,92,Active
3337,110,Weather Issue,127,Active
3338,128,Crew Delay,87,Active
3339,187,Technical Problem,177,Active
3340,369,Weather Issue,111,Active
3341,229,Weather Issue,91,Resolved
3342,476,Air Traffic,36,Active
3343,172,Crew Delay,65,Resolved
3344,101,Air Traffic,122,Active
3345,240,Technical Problem,50,Active
3346,130,Weather Issue,146,Active
3347,155,Technical Problem,134,Resolved
3348,519,Technical Problem,36,Resolved
3349,402,Technical Problem,74,Resolved
3350,288,Technical Problem,177,Active
3351,421,Weather Issue,119,Resolved
3352,338,Weather Issue,159,Resolved
3353,458,Air Traffic,75,Active
3354,538,Technical Problem,115,Resolved
3355,219,Technical Problem,165,Resolved
3356,273,Air Traffic,18,Resolved
3357,214,Crew Delay,102,Active
3358,153,Weather Issue,59,Active
3359,188,Crew Delay,115,Active
3360,335,Weather Issue,126,Resolved
3361,556,Weather Issue,93,Resolved
3362,334,Crew Delay,66,Resolved
3363,556,Air Traffic,33,Active
3364,236,Weather Issue,46,Resolved
3365,581,Crew Delay,136,Active
3366,310,Crew Delay,171,Resolved
3367,578,Weather Issue,170,Active
3368,335,Weather Issue,144,Active
3369,276,Weather Issue,45,Resolved
3370,254,Air Traffic,128,Active
3371,541,Weather Issue,70,Active
3372,288,Air Traffic,27,Resolved
3373,559,Crew Delay,65,Resolved
3374,186,Weather Issue,126,Active
3375,148,Technical Problem,39,Resolved
3376,503,Technical Problem,31,Active
3377,127,Technical Problem,43,Active
3378,191,Technical Problem,26,Resolved
3379,494,Weather Issue,60,Resolved
3380,406,Air Traffic,142,Active
3381,471,Technical Problem,103,Resolved
3382,322,Weather Issue,60,Active
3383,595,Crew Delay,136,Active
3384,511,Air Traffic,38,Active
3385,119,Technical Problem,158,Active
3386,412,Crew Delay,168,Active
3387,172,Weather Issue,105,Resolved
3388,569,Air Traffic,176,Resolved
3389,377,Technical Problem,174,Resolved
3390,522,Crew Delay,58,Resolved
3391,434,Weather Issue,106,Resolved
3392,400,Technical Problem,79,Resolved
3393,206,Weather Issue,151,Active
3394,472,Weather Issue,165,Resolved
3395,332,Crew Delay,46,Active
3396,258,Technical Problem,75,Active
3397,581,Crew Delay,75,Active
3398,130,Technical Problem,63,Resolved
3399,305,Crew Delay,154,Active
3400,189,Weather Issue,142,Active
3401,194,Technical Problem,81,Resolved
3402,110,Crew Delay,81,Resolved
3403,388,Crew Delay,146,Resolved
3404,307,Air Traffic,81,Active
3405,297,Weather Issue,105,Active
3406,436,Air Traffic,160,Active
3407,158,Crew Delay,100,Resolved
3408,488,Crew Delay,132,Resolved
3409,518,Technical Problem,142,Resolved
3410,133,Technical Problem,107,Active
3411,540,Technical Problem,92,Active
3412,531,Technical Problem,38,Active
3413,588,Air Traffic,124,Resolved
3414,314,Air Traffic,72,Resolved
3415,505,Air Traffic,89,Active
3416,497,Weather Issue,19,Resolved
3417,389,Air Traffic,45,Active
3418,565,Technical Problem,122,Resolved
3419,439,Weather Issue,116,Resolved
3420,251,Air Traffic,57,Resolved
3421,307,Weather Issue,55,Active
3422,331,Weather Issue,19,Active
3423,368,Technical Problem,68,Active
3424,413,Technical Problem,47,Resolved
3425,434,Air Traffic,171,Active
3426,528,Weather Issue,139,Active
3427,495,Air Traffic,59,Active
3428,197,Weather Issue,132,Resolved
3429,159,Crew Delay,68,Active
3430,156,Technical Problem,111,Active
3431,390,Weather Issue,24,Resolved
3432,591,Crew Delay,20,Resolved
3433,117,Weather Issue,88,Active
3434,434,Air Traffic,30,Active
3435,484,Technical Problem,59,Active
3436,442,Technical Problem,43,Active
3437,435,Technical Problem,108,Resolved
3438,239,Crew Delay,117,Resolved
3439,224,Weather Issue,20,Active
3440,465,Weather Issue,161,Active
3441,478,Crew Delay,104,Active
3442,340,Technical Problem,127,Resolved
3443,417,Crew Delay,52,Resolved
3444,337,Weather Issue,58,Active
3445,294,Weather Issue,38,Resolved
3446,296,Technical Problem,30,Resolved
3447,513,Technical Problem,162,Resolved
3448,596,Crew Delay,152,Active
3449,332,Air Traffic,145,Active
3450,268,Technical Problem,86,Resolved
3451,220,Crew Delay,54,Active
3452,121,Air Traffic,69,Resolved
3453,271,Crew Delay,155,Active
3454,168,Crew Delay,49,Resolved
3455,482,Weather Issue,127,Active
3456,126,Weather Issue,86,Resolved
3457,598,Weather Issue,26,Resolved
3458,223,Air Traffic,59,Active
3459,272,Crew Delay,42,Resolved
3460,424,Crew Delay,19,Resolved
3461,111,Crew Delay,149,Active
3462,263,Technical Problem,57,Active
3463,578,Crew Delay,178,Resolved
3464,132,Crew Delay,179,Active
3465,497,Air Traffic,93,Resolved
3466,105,Technical Problem,88,Active
3467,471,Technical Problem,127,Active
3468,230,Air Traffic,103,Active
3469,409,Air Traffic,169,Resolved
3470,309,Technical Problem,135,Active
3471,435,Crew Delay,158,Active
3472,432,Technical Problem,173,Active
3473,471,Air Traffic,114,Active
3474,470,Weather Issue,107,Active
3475,280,Weather Issue,37,Resolved
3476,112,Crew Delay,177,Active
3477,528,Crew Delay,86,Resolved
3478,112,Air Traffic,95,Resolved
3479,247,Air Traffic,156,Active
3480,573,Technical Problem,80,Resolved
3481,450,Technical Problem,104,Active
3482,482,Weather Issue,130,Active
3483,277,Crew Delay,135,Resolved
3484,355,Weather Issue,180,Active
3485,227,Technical Problem,169,Active
3486,118,Air Traffic,170,Active
3487,349,Crew Delay,144,Active
3488,275,Air Traffic,32,Active
3489,412,Air Traffic,43,Active
3490,376,Air Traffic,120,Resolved
3491,498,Crew Delay,93,Resolved
3492,592,Crew Delay,76,Active
3493,442,Technical Problem,52,Active
3494,243,Air Traffic,131,Active
3495,524,Air Traffic,60,Resolved
3496,410,Technical Problem,165,Resolved
3497,443,Air Traffic,143,Resolved
3498,356,Technical Problem,140,Active
3499,596,Weather Issue,86,Resolved
3500,284,Weather Issue,72,Resolved
