BOOKING_ID,PASSENGER_ID,FLIGHT_ID,BOOKING_AMOUNT,BOOKING_DATE,BOOKING_STATUS
1089,186,117,11321.55,2025-10-02,Cancelled
1090,308,553,45962.0,2025-04-04,Confirmed
1091,390,314,43503.05,2025-12-28,Cancelled
1092,424,311,8177.7,2025-05-09,Cancelled
1093,94,101,13626.29,2025-07-18,Confirmed
1094,315,588,24158.53,2025-08-04,Confirmed
1095,281,217,32926.89,2025-10-22,Pending
1096,241,473,13970.81,2025-02-20,Pending
1097,490,352,18774.51,2025-09-16,Cancelled
1098,442,135,16114.24,2025-01-02,Pending
1099,207,419,15529.15,2025-01-28,Confirmed
1100,452,306,3791.28,2025-08-06,Pending
1101,417,405,24373.01,2025-11-27,Confirmed
1102,168,303,24535.32,2025-02-18,Pending
1103,63,282,7973.19,2025-02-10,Confirmed
1104,59,168,41122.92,2025-03-31,Cancelled
1105,261,332,13220.84,2025-08-14,Cancelled
1106,390,434,43093.05,2025-11-18,Pending
1107,364,398,30928.4,2025-11-08,Confirmed
1108,351,342,5871.37,2025-07-29,Pending
1109,128,537,20487.99,2025-07-20,Confirmed
1110,291,258,40739.22,2025-05-21,Cancelled
1111,31,143,44063.88,2025-10-09,Cancelled
1112,416,457,16839.2,2025-11-22,Cancelled
1113,441,521,43505.95,2025-08-12,Cancelled
1114,207,558,11376.34,2025-08-16,Confirmed
1115,455,136,27955.87,2025-03-30,Confirmed
1116,219,242,33904.68,2025-10-22,Pending
1117,79,544,20009.25,2025-08-03,Confirmed
1118,458,579,6754.4,2025-03-16,Confirmed
1119,456,434,36235.44,2025-05-15,Cancelled
1120,346,595,43022.5,2025-08-09,Confirmed
1121,208,517,19171.46,2025-06-19,Cancelled
1122,111,399,18087.65,2025-07-30,Cancelled
1123,455,367,19157.75,2025-12-06,Cancelled
1124,43,389,38025.29,2025-12-25,Pending
1125,336,545,15660.77,2025-02-02,Pending
1126,21,175,11392.39,2025-02-05,Confirmed
1127,29,263,34106.88,2025-05-15,Pending
1128,475,475,9719.36,2025-01-25,Cancelled
1129,189,394,47166.02,2025-04-17,Pending
1130,379,529,4538.85,2025-01-02,Pending
1131,477,279,46441.49,2025-06-02,Pending
1132,356,232,32722.62,2025-12-14,Pending
1133,300,382,16192.45,2025-04-24,Pending
1134,7,312,26695.46,2025-05-06,Cancelled
1135,275,522,14433.06,2025-02-18,Confirmed
1136,225,551,36847.94,2025-08-06,Confirmed
1137,419,500,47539.09,2025-01-14,Cancelled
1138,223,366,30376.85,2025-01-22,Cancelled
1139,203,551,43694.8,2025-10-02,Confirmed
1140,86,214,36014.77,2025-05-23,Pending
1141,128,123,33195.05,2025-04-22,Confirmed
1142,381,252,6983.1,2025-03-21,Pending
1143,466,216,36090.01,2025-02-23,Pending
1144,330,142,20839.78,2025-10-20,Pending
1145,50,590,43143.46,2025-12-29,Cancelled
1146,26,528,27442.85,2025-01-19,Confirmed
1147,33,112,11298.92,2025-03-10,Cancelled
1148,111,413,9579.07,2025-08-17,Cancelled
1149,334,469,16671.01,2025-04-02,Cancelled
1150,496,429,46475.44,2025-02-28,Confirmed
1151,487,133,10922.03,2025-09-01,Cancelled
1152,256,275,44523.28,2025-06-03,Pending
1153,344,522,10856.75,2025-03-13,Pending
1154,100,162,47069.97,2025-03-08,Cancelled
1155,52,358,29616.68,2025-02-01,Pending
1156,247,317,9055.73,2025-07-30,Confirmed
1157,348,295,7582.76,2025-12-17,Confirmed
1158,284,371,37614.18,2025-09-05,Confirmed
1159,497,118,32679.64,2025-03-23,Cancelled
1160,125,271,29761.92,2025-01-25,Pending
1161,490,262,24287.17,2025-09-25,Pending
1162,79,400,32201.75,2025-01-01,Confirmed
1163,43,578,46275.15,2025-07-14,Cancelled
1164,249,276,20856.57,2025-02-17,Confirmed
1165,268,458,32137.12,2025-04-12,Cancelled
1166,257,110,42353.59,2025-02-16,Pending
1167,487,211,28532.23,2025-06-17,Confirmed
1168,99,478,9338.22,2025-10-22,Pending
1169,386,240,46219.73,2025-07-05,Pending
1170,471,585,24079.21,2025-11-01,Confirmed
1171,45,472,12310.07,2025-09-09,Cancelled
1172,83,542,18075.03,2025-02-23,Cancelled
1173,162,175,10369.34,2025-03-03,Cancelled
1174,404,215,8690.77,2025-10-12,Cancelled
1175,6,546,33604.21,2025-12-04,Confirmed
1176,479,202,43207.02,2025-02-09,Confirmed
1177,294,371,28809.59,2025-09-12,Cancelled
1178,396,165,5061.24,2025-04-11,Cancelled
1179,194,149,14538.16,2025-09-20,Pending
1180,97,115,11731.81,2025-04-17,Pending
1181,271,129,27123.88,2025-12-29,Cancelled
1182,4,270,30113.99,2025-05-10,Pending
1183,400,478,6500.5,2025-10-02,Cancelled
1184,447,326,33388.83,2025-02-04,Pending
1185,272,140,39412.42,2025-07-15,Confirmed
1186,437,490,15015.84,2025-11-20,Confirmed
1187,26,396,40145.44,2025-02-02,Confirmed
1188,29,308,48874.67,2025-05-23,Pending
1189,362,571,33054.79,2025-07-21,Cancelled
1190,308,193,22594.22,2025-01-14,Pending
1191,378,338,27948.02,2025-07-18,Confirmed
1192,424,192,27831.95,2025-07-11,Cancelled
1193,223,221,5475.17,2025-03-23,Confirmed
1194,34,279,21251.45,2025-08-17,Cancelled
1195,298,178,33085.77,2025-11-23,Confirmed
1196,479,262,3060.46,2025-10-15,Pending
1197,442,310,48383.81,2025-08-23,Pending
1198,149,177,42812.9,2025-08-12,Confirmed
1199,206,413,47028.24,2025-07-18,Pending
1200,86,165,3383.61,2025-10-26,Confirmed
1201,353,386,23797.14,2025-03-04,Confirmed
1202,409,473,23746.34,2025-12-17,Pending
1203,440,598,40129.46,2025-07-10,Cancelled
1204,383,159,31612.86,2025-10-28,Pending
1205,180,549,16487.09,2025-03-16,Confirmed
1206,65,328,31602.24,2025-10-11,Pending
1207,492,236,24966.73,2025-12-31,Pending
1208,318,486,39679.14,2025-02-18,Cancelled
1209,257,580,34567.62,2025-07-09,Confirmed
1210,413,270,32928.26,2025-10-06,Pending
1211,223,599,21594.09,2025-12-24,Pending
1212,44,598,44889.73,2025-01-23,Pending
1213,74,424,30946.72,2025-01-13,Pending
1214,93,318,19409.96,2025-05-25,Confirmed
1215,140,422,6826.5,2025-11-03,Cancelled
1216,132,357,22161.48,2025-09-14,Pending
1217,428,579,35480.18,2025-12-09,Pending
1218,486,134,12629.31,2025-08-05,Cancelled
1219,365,355,17717.2,2025-02-15,Confirmed
1220,458,462,22881.96,2025-04-20,Pending
1221,379,440,45856.82,2025-09-12,Confirmed
1222,441,480,5928.09,2025-03-11,Cancelled
1223,290,103,33568.46,2025-05-26,Cancelled
1224,409,206,8393.89,2025-10-30,Confirmed
1225,385,283,32770.4,2025-12-17,Confirmed
1226,262,343,24902.65,2025-02-22,Confirmed
1227,328,407,41648.92,2025-11-17,Cancelled
1228,221,160,22907.64,2025-10-20,Confirmed
1229,147,430,20120.24,2025-05-11,Cancelled
1230,149,382,32857.59,2025-03-28,Confirmed
1231,303,197,21118.46,2025-08-11,Pending
1232,371,110,35028.21,2025-08-24,Confirmed
1233,227,117,19880.72,2025-12-06,Pending
1234,307,224,35960.79,2025-12-02,Confirmed
1235,306,241,16475.68,2025-11-28,Cancelled
1236,300,410,42219.18,2025-06-28,Confirmed
1237,345,312,47906.78,2025-10-25,Cancelled
1238,260,490,3378.13,2025-06-07,Cancelled
1239,129,450,4947.21,2025-11-14,Confirmed
1240,74,187,17063.41,2025-06-10,Cancelled
1241,410,408,47313.38,2025-08-10,Cancelled
1242,45,220,16762.58,2025-09-02,Cancelled
1243,468,500,4871.15,2025-06-14,Confirmed
1244,358,476,13544.57,2025-12-04,Confirmed
1245,372,344,47811.58,2025-12-22,Confirmed
1246,305,206,16889.56,2025-05-27,Confirmed
1247,453,107,46872.5,2025-11-08,Confirmed
1248,307,433,46377.38,2025-07-04,Cancelled
1249,330,355,15787.27,2025-02-05,Cancelled
1250,434,150,33185.38,2025-09-02,Cancelled
1251,332,221,16701.31,2025-09-20,Confirmed
1252,93,480,25586.95,2025-02-17,Confirmed
1253,98,167,22811.85,2025-05-08,Confirmed
1254,163,196,13394.44,2025-02-10,Cancelled
1255,238,154,8397.39,2025-10-15,Confirmed
1256,499,291,34663.64,2025-11-01,Confirmed
1257,397,342,7459.86,2025-05-07,Pending
1258,424,326,39255.5,2025-07-25,Confirmed
1259,7,182,41162.5,2025-02-22,Cancelled
1260,319,285,13792.44,2025-01-04,Confirmed
1261,187,136,15289.57,2025-02-12,Pending
1262,329,547,34408.57,2025-04-20,Confirmed
1263,317,301,13824.71,2025-07-13,Pending
1264,7,489,41954.69,2025-02-10,Confirmed
1265,357,219,44577.92,2025-08-02,Cancelled
1266,62,591,49788.05,2025-01-28,Confirmed
1267,12,475,22196.01,2025-06-12,Confirmed
1268,61,324,24008.96,2025-07-15,Cancelled
1269,407,573,10706.02,2025-02-22,Cancelled
1270,162,170,43724.92,2025-02-13,Confirmed
1271,237,125,14245.21,2025-02-18,Pending
1272,488,437,13742.72,2025-11-11,Cancelled
1273,450,292,35714.8,2025-10-06,Confirmed
1274,121,160,25001.99,2025-08-24,Cancelled
1275,212,291,21368.45,2025-03-13,Confirmed
1276,320,372,33417.29,2025-01-08,Pending
1277,240,308,13981.02,2025-05-08,Pending
1278,275,364,13384.68,2025-04-01,Confirmed
1279,262,504,41555.18,2025-07-02,Cancelled
1280,361,374,7115.58,2025-03-31,Pending
1281,445,208,44241.58,2025-07-27,Cancelled
1282,56,171,31923.31,2025-06-14,Pending
1283,482,205,38108.58,2025-07-17,Confirmed
1284,86,483,47256.04,2025-11-03,Cancelled
1285,358,349,33088.31,2025-07-26,Cancelled
1286,209,199,46680.43,2025-01-20,Pending
1287,312,252,9609.05,2025-03-20,Confirmed
1288,301,494,26160.34,2025-02-21,Pending
1289,453,223,3832.68,2025-04-15,Pending
1290,359,504,25558.26,2025-04-20,Confirmed
1291,312,332,46590.12,2025-03-18,Cancelled
1292,17,297,46262.96,2025-08-28,Confirmed
1293,225,528,27422.98,2025-01-07,Cancelled
1294,265,390,46559.74,2025-11-19,Confirmed
1295,191,223,29583.81,2025-02-09,Pending
1296,25,447,21323.6,2025-11-16,Cancelled
1297,90,344,6554.71,2025-02-14,Confirmed
1298,201,110,38885.35,2025-10-22,Cancelled
1299,267,588,24942.98,2025-02-08,Pending
1300,276,426,35754.23,2025-12-14,Confirmed
1301,75,449,5809.56,2025-06-20,Cancelled
1302,92,453,27017.26,2025-08-29,Confirmed
1303,216,528,19019.86,2025-11-05,Cancelled
1304,408,474,45062.14,2025-03-28,Cancelled
1305,240,316,9813.65,2025-03-01,Pending
1306,380,549,36630.52,2025-01-30,Confirmed
1307,452,579,9561.83,2025-05-14,Cancelled
1308,294,596,37552.06,2025-09-19,Cancelled
1309,279,362,42814.72,2025-07-31,Pending
1310,195,478,43143.56,2025-09-16,Pending
1311,203,232,34931.91,2025-05-12,Cancelled
1312,198,128,5216.29,2025-04-30,Confirmed
1313,266,200,13094.33,2025-03-19,Confirmed
1314,79,536,37387.32,2025-08-22,Pending
1315,426,286,9589.63,2025-02-06,Confirmed
1316,210,272,14606.04,2025-07-30,Cancelled
1317,294,261,25637.26,2025-04-25,Pending
1318,2,331,15064.06,2025-09-22,Cancelled
1319,442,350,39692.97,2025-10-21,Confirmed
1320,192,331,16408.09,2025-07-28,Pending
1321,139,572,44689.0,2025-01-22,Cancelled
1322,40,455,15009.53,2025-11-26,Confirmed
1323,147,528,47717.58,2025-03-02,Pending
1324,20,427,45384.06,2025-09-25,Confirmed
1325,497,551,23561.88,2025-07-21,Confirmed
1326,483,165,48067.14,2025-08-19,Confirmed
1327,69,432,47101.14,2025-02-18,Confirmed
1328,225,148,47287.6,2025-05-30,Pending
1329,133,361,3942.64,2025-12-16,Cancelled
1330,331,250,27564.53,2025-02-11,Confirmed
1331,112,224,23391.9,2025-12-27,Cancelled
1332,407,493,12590.11,2025-08-11,Pending
1333,308,207,15340.89,2025-07-18,Confirmed
1334,468,189,48293.66,2025-08-06,Cancelled
1335,108,220,47737.4,2025-06-19,Confirmed
1336,372,571,31590.62,2025-05-15,Pending
1337,489,451,41270.43,2025-05-12,Pending
1338,222,192,11266.49,2025-09-20,Pending
1339,296,341,17871.54,2025-04-12,Pending
1340,253,574,27588.23,2025-07-16,Pending
1341,478,547,33281.91,2025-08-28,Cancelled
1342,149,128,35187.78,2025-04-15,Cancelled
1343,426,269,27646.51,2025-10-07,Confirmed
1344,246,594,40958.19,2025-07-05,Cancelled
1345,97,515,34110.84,2025-11-06,Cancelled
1346,491,410,22190.97,2025-01-19,Pending
1347,426,293,9467.53,2025-09-02,Cancelled
1348,355,538,30730.05,2025-03-19,Cancelled
1349,116,412,15854.74,2025-01-25,Cancelled
1350,224,560,5347.08,2025-10-04,Pending
1351,114,505,28373.7,2025-09-20,Cancelled
1352,104,169,20485.17,2025-07-16,Confirmed
1353,27,499,9939.02,2025-01-24,Pending
1354,355,575,42677.76,2025-08-26,Confirmed
1355,450,521,32002.96,2025-03-26,Cancelled
1356,240,465,46318.46,2025-01-14,Cancelled
1357,405,342,26730.33,2025-12-03,Confirmed
1358,500,276,23834.9,2025-11-13,Cancelled
1359,144,186,15364.9,2025-04-18,Cancelled
1360,137,475,46587.09,2025-08-11,Confirmed
1361,448,304,6389.18,2025-05-18,Confirmed
1362,343,343,43389.16,2025-12-14,Pending
1363,136,359,47846.87,2025-06-21,Confirmed
1364,459,178,3585.41,2025-08-26,Cancelled
1365,373,415,35678.61,2025-04-20,Confirmed
1366,259,108,39346.57,2025-11-25,Pending
1367,56,468,5274.86,2025-06-14,Confirmed
1368,382,373,33322.11,2025-09-06,Cancelled
1369,444,217,21029.03,2025-03-20,Confirmed
1370,14,340,22942.03,2025-03-07,Cancelled
1371,434,457,6329.81,2025-07-13,Pending
1372,150,131,25015.27,2025-03-16,Confirmed
1373,366,323,39373.01,2025-02-01,Cancelled
1374,31,299,7957.77,2025-04-26,Cancelled
1375,100,271,46179.55,2025-01-08,Cancelled
1376,462,590,25652.21,2025-02-02,Confirmed
1377,165,589,5629.09,2025-11-23,Pending
1378,43,279,24988.49,2025-08-19,Pending
1379,358,339,21469.89,2025-10-26,Confirmed
1380,173,561,38870.79,2025-06-22,Cancelled
1381,82,433,25046.01,2025-02-24,Confirmed
1382,59,227,21276.11,2025-01-04,Confirmed
1383,300,399,33254.43,2025-09-24,Confirmed
1384,421,523,47645.41,2025-07-21,Confirmed
1385,23,408,25407.81,2025-03-25,Cancelled
1386,388,435,46445.45,2025-09-10,Pending
1387,228,146,44177.03,2025-07-08,Cancelled
1388,43,241,48200.77,2025-11-01,Cancelled
1389,157,425,6686.21,2025-06-28,Confirmed
1390,49,173,22325.9,2025-08-07,Cancelled
1391,423,211,22217.83,2025-02-01,Cancelled
1392,449,597,43040.05,2025-02-06,Cancelled
1393,161,476,12251.18,2025-06-10,Cancelled
1394,409,120,39462.6,2025-05-28,Pending
1395,41,276,28806.16,2025-03-26,Confirmed
1396,102,495,24902.06,2025-05-13,Pending
1397,293,567,42365.91,2025-08-20,Confirmed
1398,177,519,46954.51,2025-11-16,Pending
1399,200,584,12600.79,2025-03-26,Cancelled
1400,279,374,36950.2,2025-03-04,Pending
1401,291,134,7808.48,2025-10-14,Confirmed
1402,409,253,45361.36,2025-08-26,Confirmed
1403,388,569,46416.54,2025-01-24,Confirmed
1404,84,325,22685.64,2025-10-21,Confirmed
1405,375,388,6342.65,2025-07-04,Pending
1406,8,348,24694.85,2025-01-30,Confirmed
1407,263,201,20411.87,2025-12-13,Pending
1408,106,294,36987.6,2025-10-27,Pending
1409,274,226,36007.27,2025-09-30,Pending
1410,393,139,13830.97,2025-06-17,Pending
1411,135,430,17841.17,2025-09-18,Pending
1412,159,497,45920.11,2025-11-11,Confirmed
1413,174,305,45257.89,2025-11-15,Cancelled
1414,492,428,32956.48,2025-03-18,Confirmed
1415,85,368,28130.57,2025-06-11,Cancelled
1416,457,530,16349.94,2025-06-15,Confirmed
1417,9,541,42231.46,2025-12-24,Cancelled
1418,396,549,10692.62,2025-01-05,Pending
1419,248,497,28612.68,2025-12-08,Confirmed
1420,163,471,36266.99,2025-08-22,Confirmed
1421,222,562,21988.87,2025-08-05,Confirmed
1422,15,548,43708.85,2025-03-12,Cancelled
1423,192,194,44509.53,2025-03-12,Pending
1424,358,291,15944.55,2025-04-18,Pending
1425,191,287,37621.31,2025-06-24,Pending
1426,273,382,29924.14,2025-12-17,Pending
1427,175,225,4469.73,2025-07-08,Pending
1428,340,189,5663.71,2025-06-24,Pending
1429,243,460,15397.92,2025-04-13,Cancelled
1430,234,413,34387.45,2025-09-12,Confirmed
1431,408,598,41350.06,2025-12-05,Pending
1432,234,349,15994.19,2025-05-18,Cancelled
1433,146,565,46396.41,2025-08-24,Pending
1434,61,461,41778.16,2025-02-05,Confirmed
1435,380,600,15664.79,2025-08-11,Pending
1436,160,225,10979.48,2025-05-16,Pending
1437,399,274,30238.43,2025-07-22,Cancelled
1438,9,307,35875.59,2025-08-22,Cancelled
1439,139,476,18670.95,2025-03-06,Cancelled
1440,212,346,24748.99,2025-12-31,Confirmed
1441,91,420,24451.03,2025-05-14,Confirmed
1442,212,377,31935.89,2025-09-11,Confirmed
1443,494,517,27783.58,2025-07-25,Pending
1444,340,516,43282.97,2025-03-11,Pending
1445,73,557,48984.64,2025-05-20,Pending
1446,346,377,21797.47,2025-10-30,Confirmed
1447,409,350,5906.06,2025-07-02,Pending
1448,101,195,44212.31,2025-04-05,Cancelled
1449,271,463,48461.57,2025-09-07,Cancelled
1450,416,516,36985.45,2025-05-23,Cancelled
1451,444,324,41361.12,2025-02-17,Cancelled
1452,475,272,22730.35,2025-09-07,Cancelled
1453,15,136,5906.18,2025-08-08,Cancelled
1454,174,584,7733.52,2025-02-10,Cancelled
1455,24,487,32812.7,2025-01-11,Cancelled
1456,461,139,49822.0,2025-08-31,Confirmed
1457,309,134,47109.79,2025-01-29,Cancelled
1458,427,538,24664.65,2025-09-19,Cancelled
1459,94,582,18712.27,2026-01-01,Cancelled
1460,213,121,47303.54,2025-04-11,Confirmed
1461,74,302,10799.21,2025-12-05,Pending
1462,133,121,16991.09,2025-08-23,Cancelled
1463,192,203,39265.65,2025-08-03,Confirmed
1464,276,216,18668.56,2025-12-16,Cancelled
1465,191,249,34299.72,2025-02-21,Confirmed
1466,472,447,39499.48,2025-06-05,Confirmed
1467,315,123,20140.9,2025-11-06,Confirmed
1468,424,360,24110.26,2025-01-23,Pending
1469,174,401,43994.39,2025-06-10,Pending
1470,23,237,27985.92,2025-02-11,Pending
1471,75,419,44316.39,2025-03-17,Pending
1472,425,272,16135.69,2025-04-24,Confirmed
1473,137,264,33270.46,2025-07-19,Pending
1474,71,103,37530.91,2025-10-31,Cancelled
1475,221,158,9949.79,2025-05-26,Pending
1476,65,183,8775.75,2025-07-21,Pending
1477,365,452,44110.93,2025-06-22,Cancelled
1478,311,342,12005.2,2025-11-22,Cancelled
1479,172,229,39549.29,2025-01-17,Pending
1480,7,476,29120.63,2025-07-11,Cancelled
1481,202,460,11937.15,2025-12-17,Cancelled
1482,69,371,48358.12,2025-08-23,Cancelled
1483,281,435,7827.84,2025-05-27,Confirmed
1484,366,309,16746.95,2025-01-08,Pending
1485,302,197,27669.71,2025-10-02,Pending
1486,166,464,47382.4,2025-03-21,Pending
1487,228,187,9334.0,2025-11-27,Confirmed
1488,171,259,13814.99,2025-02-23,Cancelled
1489,438,323,46705.81,2025-03-25,Cancelled
1490,315,548,24748.81,2025-03-04,Pending
1491,431,329,33436.39,2025-12-07,Confirmed
1492,356,444,44864.34,2025-02-19,Cancelled
1493,162,585,28489.16,2025-04-26,Confirmed
1494,162,202,44253.14,2025-09-20,Pending
1495,443,295,9337.38,2025-12-02,Cancelled
1496,67,180,24263.42,2025-01-04,Pending
1497,242,323,17878.99,2025-11-21,Confirmed
1498,60,250,40137.01,2025-11-22,Pending
1499,203,328,10693.09,2025-01-17,Confirmed
1500,377,442,48033.7,2025-06-04,Pending
