FLIGHT_ID,AIRLINE_NAME,SOURCE_AIRPORT,DESTINATION_AIRPORT,FLIGHT_STATUS
183,IndiGo,Delhi,Mumbai,Delayed
184,SpiceJet,Mumbai,Singapore,Cancelled
185,Qatar Airways,Mumbai,Dubai,Cancelled
186,Qatar Airways,Chennai,Dubai,Delayed
187,Emirates,Singapore,Mumbai,Delayed
188,Emirates,Chennai,London,Cancelled
189,SpiceJet,Delhi,Dubai,Delayed
190,SpiceJet,Chennai,Mumbai,On Time
191,IndiGo,London,Mumbai,On Time
192,Qatar Airways,Delhi,Chennai,Delayed
193,IndiGo,London,Mumbai,Cancelled
194,SpiceJet,Singapore,London,Cancelled
195,IndiGo,Mumbai,Chennai,On Time
196,Qatar Airways,Dubai,Mumbai,Delayed
197,Emirates,London,Dubai,Delayed
198,SpiceJet,Mumbai,Chennai,Delayed
199,IndiGo,Chennai,Dubai,On Time
200,Qatar Airways,Singapore,Delhi,On Time
201,Emirates,Chennai,Mumbai,On Time
202,SpiceJet,Delhi,London,Cancelled
203,SpiceJet,Chennai,London,On Time
204,IndiGo,Chennai,Singapore,On Time
205,Emirates,Singapore,Mumbai,Delayed
206,Emirates,Dubai,Delhi,Delayed
207,Emirates,London,Delhi,On Time
208,Qatar Airways,Delhi,Singapore,On Time
209,Air India,Chennai,Delhi,Cancelled
210,Qatar Airways,Chennai,Mumbai,On Time
211,SpiceJet,London,Singapore,On Time
212,SpiceJet,Mumbai,Singapore,Cancelled
213,Air India,London,Chennai,Delayed
214,Air India,London,Dubai,On Time
215,Air India,Delhi,Chennai,On Time
216,IndiGo,Mumbai,Dubai,Delayed
217,Qatar Airways,Delhi,Singapore,On Time
218,SpiceJet,London,Mumbai,Delayed
219,Qatar Airways,Singapore,Dubai,Cancelled
220,Qatar Airways,Delhi,Singapore,On Time
221,Air India,Dubai,Singapore,Cancelled
222,SpiceJet,Chennai,Dubai,On Time
223,Emirates,Delhi,Chennai,Delayed
224,SpiceJet,Delhi,Mumbai,Cancelled
225,Air India,Dubai,Delhi,On Time
226,Emirates,Delhi,Dubai,Cancelled
227,Air India,Chennai,London,On Time
228,Emirates,Singapore,Mumbai,Cancelled
229,Qatar Airways,Delhi,Mumbai,On Time
230,Emirates,Singapore,Dubai,On Time
231,Qatar Airways,Chennai,Singapore,Delayed
232,Emirates,Singapore,Chennai,On Time
233,IndiGo,Mumbai,Dubai,Cancelled
234,Qatar Airways,Singapore,Delhi,Cancelled
235,Air India,Singapore,Mumbai,Delayed
236,SpiceJet,Chennai,London,Delayed
237,Emirates,Mumbai,Dubai,Delayed
238,Qatar Airways,Delhi,London,On Time
239,Qatar Airways,Dubai,London,Cancelled
240,IndiGo,Mumbai,Chennai,On Time
241,Emirates,Singapore,London,Cancelled
242,Emirates,Delhi,Chennai,On Time
243,Emirates,Delhi,Mumbai,Cancelled
244,Air India,Dubai,London,On Time
245,SpiceJet,Singapore,Dubai,Delayed
246,SpiceJet,Dubai,Chennai,On Time
247,Air India,London,Delhi,Delayed
248,Qatar Airways,Chennai,Delhi,Cancelled
249,IndiGo,London,Delhi,Delayed
250,Emirates,London,Chennai,Cancelled
251,Emirates,London,Mumbai,Delayed
252,Qatar Airways,Chennai,Delhi,Delayed
253,Air India,Chennai,Delhi,Cancelled
254,Qatar Airways,London,Mumbai,Cancelled
255,IndiGo,Singapore,London,On Time
256,Air India,Mumbai,Delhi,On Time
257,SpiceJet,Singapore,Delhi,On Time
258,Air India,Singapore,Delhi,Cancelled
259,Qatar Airways,London,Delhi,Delayed
260,Emirates,Dubai,Singapore,On Time
261,Air India,Chennai,Singapore,Cancelled
262,SpiceJet,Singapore,Chennai,Delayed
263,Emirates,Mumbai,London,Delayed
264,Air India,Singapore,Dubai,On Time
265,IndiGo,Mumbai,London,Cancelled
266,Emirates,London,Mumbai,On Time
267,Emirates,Dubai,London,Delayed
268,Air India,Chennai,Dubai,Cancelled
269,Qatar Airways,Singapore,Delhi,On Time
270,IndiGo,Dubai,Mumbai,Cancelled
271,Air India,London,Dubai,Delayed
272,IndiGo,London,Delhi,Delayed
273,Emirates,Chennai,Singapore,Delayed
274,IndiGo,London,Dubai,Cancelled
275,Qatar Airways,London,Delhi,On Time
276,Air India,Mumbai,Singapore,On Time
277,Air India,Singapore,Delhi,Delayed
278,SpiceJet,Dubai,Chennai,Delayed
279,SpiceJet,Dubai,Singapore,Delayed
280,Emirates,Chennai,Delhi,Delayed
281,Air India,Chennai,Delhi,Delayed
282,IndiGo,Mumbai,Dubai,Cancelled
283,Air India,London,Delhi,On Time
284,SpiceJet,Singapore,London,Delayed
285,Emirates,Chennai,Dubai,Delayed
286,Air India,Delhi,Chennai,Delayed
287,Air India,Delhi,Mumbai,On Time
288,Qatar Airways,Delhi,Chennai,Delayed
289,Air India,Singapore,London,Cancelled
290,SpiceJet,Chennai,Singapore,Cancelled
291,Emirates,Chennai,Singapore,On Time
292,Emirates,Mumbai,London,On Time
293,Qatar Airways,London,Mumbai,Cancelled
294,Air India,Dubai,Singapore,Cancelled
295,Emirates,Mumbai,Singapore,Delayed
296,Emirates,Delhi,London,Cancelled
297,IndiGo,Delhi,Mumbai,On Time
298,Air India,Singapore,London,Cancelled
299,Emirates,Chennai,Mumbai,Cancelled
300,Air India,Mumbai,Delhi,Cancelled
301,SpiceJet,Chennai,London,On Time
302,Qatar Airways,Dubai,Chennai,Cancelled
303,Qatar Airways,Delhi,Dubai,On Time
304,Emirates,Mumbai,Chennai,On Time
305,Qatar Airways,Mumbai,London,Delayed
306,IndiGo,Mumbai,Dubai,Cancelled
307,SpiceJet,Mumbai,Singapore,Delayed
308,IndiGo,Mumbai,Dubai,On Time
309,Qatar Airways,Delhi,London,Delayed
310,Emirates,Dubai,London,Delayed
311,Qatar Airways,Delhi,Chennai,On Time
312,Qatar Airways,Delhi,Singapore,On Time
313,Emirates,Dubai,Delhi,On Time
314,Air India,London,Dubai,On Time
315,IndiGo,Delhi,Singapore,On Time
316,Air India,Singapore,Delhi,Delayed
317,Emirates,Mumbai,London,Delayed
318,Qatar Airways,Chennai,Dubai,On Time
319,SpiceJet,London,Mumbai,Delayed
320,Qatar Airways,Delhi,Dubai,Delayed
321,SpiceJet,Mumbai,Dubai,On Time
322,SpiceJet,Mumbai,London,Cancelled
323,IndiGo,Delhi,Singapore,On Time
324,IndiGo,London,Mumbai,Cancelled
325,Air India,London,Chennai,Cancelled
326,IndiGo,Chennai,Dubai,Delayed
327,Qatar Airways,Singapore,Mumbai,Delayed
328,IndiGo,Mumbai,Dubai,Delayed
329,SpiceJet,London,Chennai,Delayed
330,Qatar Airways,Delhi,Dubai,Delayed
331,SpiceJet,Dubai,Delhi,Delayed
332,Emirates,Chennai,Mumbai,Delayed
333,Air India,Dubai,Mumbai,Cancelled
334,Emirates,Dubai,Chennai,On Time
335,Air India,London,Singapore,On Time
336,Air India,Dubai,London,Delayed
337,Emirates,Dubai,Mumbai,On Time
338,IndiGo,Mumbai,Chennai,Delayed
339,Emirates,London,Singapore,Cancelled
340,Air India,Chennai,London,Cancelled
341,SpiceJet,Delhi,Dubai,On Time
342,Qatar Airways,Singapore,Chennai,Delayed
343,Air India,Mumbai,London,On Time
344,Qatar Airways,Delhi,London,Cancelled
345,Emirates,Dubai,Delhi,Cancelled
346,IndiGo,Singapore,Chennai,On Time
347,SpiceJet,Singapore,Mumbai,Cancelled
348,IndiGo,London,Chennai,Cancelled
349,Qatar Airways,Mumbai,Chennai,Cancelled
350,SpiceJet,Chennai,Delhi,On Time
351,Air India,Delhi,Dubai,Cancelled
352,IndiGo,London,Delhi,Delayed
353,IndiGo,Dubai,Delhi,On Time
354,SpiceJet,Singapore,Delhi,Cancelled
355,Emirates,London,Mumbai,Cancelled
356,Air India,Delhi,London,Cancelled
357,SpiceJet,Delhi,Dubai,Cancelled
358,Air India,London,Chennai,Cancelled
359,Emirates,Chennai,Singapore,Delayed
360,Air India,Chennai,Singapore,On Time
361,Emirates,Chennai,Mumbai,On Time
362,Qatar Airways,London,Dubai,Cancelled
363,Qatar Airways,Singapore,Delhi,On Time
364,IndiGo,Chennai,Mumbai,Delayed
365,SpiceJet,London,Chennai,Delayed
366,SpiceJet,Chennai,Singapore,Cancelled
367,Air India,Chennai,Singapore,Cancelled
368,Air India,Mumbai,Delhi,On Time
369,Air India,Dubai,Mumbai,On Time
370,SpiceJet,London,Chennai,Cancelled
371,SpiceJet,Delhi,Mumbai,Cancelled
372,SpiceJet,Mumbai,Dubai,Delayed
373,Qatar Airways,London,Mumbai,Delayed
374,IndiGo,Singapore,Delhi,Cancelled
375,Qatar Airways,Chennai,Singapore,Cancelled
376,IndiGo,Mumbai,Chennai,Cancelled
377,Air India,Dubai,Chennai,On Time
378,IndiGo,Dubai,Singapore,On Time
379,Air India,Singapore,Mumbai,Delayed
380,SpiceJet,Singapore,London,Cancelled
381,Qatar Airways,Chennai,Singapore,Delayed
382,Air India,Chennai,London,Delayed
383,SpiceJet,London,Dubai,Delayed
384,Air India,Mumbai,Chennai,Cancelled
385,Emirates,Delhi,Dubai,Cancelled
386,Emirates,London,Singapore,Delayed
387,SpiceJet,London,Singapore,On Time
388,Emirates,London,Dubai,On Time
389,Air India,Delhi,Chennai,Cancelled
390,Air India,Delhi,Singapore,Cancelled
391,SpiceJet,Dubai,London,On Time
392,Qatar Airways,London,Delhi,Cancelled
393,Air India,Dubai,Delhi,Delayed
394,Air India,Mumbai,Delhi,Delayed
395,Qatar Airways,Delhi,Singapore,Delayed
396,IndiGo,Delhi,London,Cancelled
397,Emirates,London,Mumbai,On Time
398,SpiceJet,Mumbai,Dubai,Cancelled
399,Qatar Airways,Mumbai,Chennai,Cancelled
400,Air India,Singapore,Mumbai,Delayed
401,SpiceJet,Chennai,Delhi,Delayed
402,IndiGo,Dubai,Mumbai,Cancelled
403,SpiceJet,Dubai,Singapore,On Time
404,Emirates,Singapore,Delhi,Cancelled
405,Air India,Delhi,Dubai,Cancelled
406,Air India,Chennai,Dubai,Cancelled
407,Emirates,Mumbai,Dubai,On Time
408,SpiceJet,Chennai,Mumbai,Cancelled
409,IndiGo,Mumbai,Dubai,Cancelled
410,SpiceJet,Dubai,Singapore,Delayed
411,SpiceJet,Delhi,Mumbai,Delayed
412,Emirates,Mumbai,Singapore,Cancelled
413,Qatar Airways,Mumbai,Delhi,On Time
414,Emirates,Mumbai,Chennai,Cancelled
415,Air India,Dubai,Singapore,Cancelled
416,IndiGo,Chennai,Delhi,Delayed
417,Qatar Airways,Dubai,London,Delayed
418,Emirates,Dubai,Mumbai,Cancelled
419,Qatar Airways,Delhi,Dubai,Delayed
420,Air India,Chennai,Mumbai,On Time
421,Emirates,Singapore,Chennai,Cancelled
422,Qatar Airways,London,Mumbai,Delayed
423,Qatar Airways,Chennai,London,On Time
424,Air India,Chennai,London,Cancelled
425,Air India,Mumbai,London,On Time
426,IndiGo,Delhi,Chennai,On Time
427,IndiGo,Singapore,Mumbai,On Time
428,SpiceJet,London,Chennai,Delayed
429,SpiceJet,Delhi,Chennai,Cancelled
430,IndiGo,Mumbai,Singapore,Cancelled
431,Air India,Singapore,Chennai,On Time
432,Emirates,London,Mumbai,Cancelled
433,Emirates,Dubai,Chennai,Delayed
434,IndiGo,Dubai,London,Cancelled
435,Emirates,Singapore,Chennai,Cancelled
436,SpiceJet,Mumbai,Singapore,Cancelled
437,Emirates,Singapore,Delhi,Cancelled
438,IndiGo,Delhi,Dubai,On Time
439,Qatar Airways,London,Mumbai,Cancelled
440,IndiGo,Chennai,London,Delayed
441,Emirates,Dubai,Singapore,Delayed
442,Air India,Mumbai,Chennai,Delayed
443,Qatar Airways,Dubai,Delhi,On Time
444,Emirates,Singapore,London,On Time
445,Qatar Airways,Mumbai,Dubai,Delayed
446,Emirates,Mumbai,London,On Time
447,IndiGo,Mumbai,Singapore,On Time
448,Qatar Airways,Chennai,Delhi,Delayed
449,Air India,London,Dubai,On Time
450,Emirates,Singapore,Chennai,On Time
451,Emirates,Chennai,Singapore,On Time
452,IndiGo,Singapore,Delhi,On Time
453,Emirates,Delhi,London,On Time
454,IndiGo,Dubai,Chennai,Cancelled
455,SpiceJet,Dubai,Mumbai,On Time
456,Air India,Chennai,Singapore,On Time
457,Emirates,Dubai,Chennai,Cancelled
458,Air India,Delhi,Dubai,Delayed
459,SpiceJet,Mumbai,London,Cancelled
460,Emirates,Chennai,Mumbai,On Time
461,Emirates,Singapore,Chennai,Delayed
462,SpiceJet,Chennai,Mumbai,Cancelled
463,Emirates,Chennai,Dubai,Delayed
464,Air India,Singapore,Delhi,On Time
465,Air India,Delhi,London,Cancelled
466,Qatar Airways,Mumbai,Dubai,Cancelled
467,Emirates,Mumbai,Dubai,On Time
468,Emirates,Dubai,Delhi,Cancelled
469,SpiceJet,Singapore,London,Delayed
470,IndiGo,Dubai,London,Delayed
471,SpiceJet,Dubai,Singapore,Cancelled
472,SpiceJet,Dubai,Mumbai,Delayed
473,Air India,Dubai,Delhi,Cancelled
474,IndiGo,London,Delhi,Delayed
475,Qatar Airways,Singapore,Mumbai,Delayed
476,SpiceJet,Chennai,Singapore,Delayed
477,Qatar Airways,London,Chennai,Delayed
478,Qatar Airways,London,Singapore,Delayed
479,Emirates,Mumbai,Delhi,On Time
480,Qatar Airways,Chennai,Singapore,Delayed
481,IndiGo,Singapore,London,On Time
482,Air India,Mumbai,Chennai,Cancelled
483,Qatar Airways,London,Singapore,Delayed
484,Air India,Delhi,Singapore,Delayed
485,Air India,Chennai,Dubai,Delayed
486,SpiceJet,Mumbai,Dubai,Delayed
487,Air India,Dubai,Chennai,Delayed
488,Qatar Airways,Chennai,London,Cancelled
489,Air India,Mumbai,London,Cancelled
490,SpiceJet,Dubai,Mumbai,Delayed
491,SpiceJet,Mumbai,London,Cancelled
492,IndiGo,Dubai,Singapore,Cancelled
493,Emirates,Mumbai,Delhi,On Time
494,Air India,Delhi,London,Delayed
495,SpiceJet,Dubai,Delhi,Cancelled
496,Emirates,Dubai,Mumbai,On Time
497,IndiGo,Chennai,Singapore,On Time
498,Air India,Chennai,Singapore,Cancelled
499,Emirates,Singapore,Dubai,Delayed
500,Emirates,London,Chennai,On Time
501,IndiGo,Mumbai,Dubai,Delayed
502,IndiGo,Delhi,Singapore,Delayed
503,SpiceJet,Dubai,Delhi,On Time
504,Air India,Mumbai,Chennai,Cancelled
505,SpiceJet,Dubai,London,Delayed
506,SpiceJet,Mumbai,Delhi,Cancelled
507,Air India,London,Chennai,Cancelled
508,Emirates,Chennai,Dubai,Delayed
509,IndiGo,Singapore,Mumbai,On Time
510,SpiceJet,Dubai,Chennai,Delayed
511,Qatar Airways,London,Chennai,On Time
512,Qatar Airways,London,Mumbai,Cancelled
513,SpiceJet,Singapore,Chennai,On Time
514,IndiGo,Dubai,Chennai,Delayed
515,IndiGo,Mumbai,Delhi,Cancelled
516,Emirates,Delhi,Mumbai,On Time
517,SpiceJet,Chennai,Singapore,Cancelled
518,Qatar Airways,London,Singapore,Delayed
519,Emirates,Singapore,London,Cancelled
520,Air India,Singapore,Chennai,Cancelled
521,Emirates,Singapore,Delhi,On Time
522,Emirates,Mumbai,Delhi,Cancelled
523,SpiceJet,Singapore,Dubai,On Time
524,Qatar Airways,Chennai,London,Delayed
525,Emirates,Dubai,London,Cancelled
526,Qatar Airways,Singapore,Delhi,Delayed
527,IndiGo,London,Chennai,On Time
528,IndiGo,Delhi,Dubai,Cancelled
529,SpiceJet,London,Singapore,Cancelled
530,SpiceJet,Mumbai,Chennai,Delayed
531,IndiGo,Dubai,Chennai,Cancelled
532,Emirates,Delhi,Mumbai,Delayed
533,Qatar Airways,Delhi,Dubai,Delayed
534,Qatar Airways,Singapore,Mumbai,On Time
535,Emirates,Dubai,Singapore,Cancelled
536,Air India,Dubai,Mumbai,Cancelled
537,Air India,Dubai,Delhi,Delayed
538,Qatar Airways,Singapore,Delhi,Delayed
539,SpiceJet,Dubai,Mumbai,Cancelled
540,IndiGo,Chennai,London,On Time
541,Emirates,Dubai,Delhi,Cancelled
542,Air India,Singapore,Mumbai,Cancelled
543,SpiceJet,Delhi,Chennai,Delayed
544,Air India,Singapore,Chennai,Delayed
545,Emirates,Singapore,Chennai,Cancelled
546,Emirates,Mumbai,Dubai,Cancelled
547,IndiGo,Singapore,Mumbai,Delayed
548,Air India,Dubai,Delhi,Cancelled
549,Qatar Airways,Mumbai,Delhi,On Time
550,Air India,Singapore,Delhi,On Time
551,Emirates,London,Chennai,Delayed
552,SpiceJet,Singapore,Delhi,Cancelled
553,SpiceJet,London,Dubai,Delayed
554,IndiGo,Singapore,Delhi,On Time
555,SpiceJet,Chennai,Mumbai,Delayed
556,Air India,Delhi,Chennai,On Time
557,Emirates,Delhi,London,On Time
558,SpiceJet,Singapore,Mumbai,Cancelled
559,Qatar Airways,Chennai,London,Delayed
560,IndiGo,Dubai,London,On Time
561,Qatar Airways,Dubai,Chennai,Cancelled
562,IndiGo,Delhi,Chennai,Cancelled
563,SpiceJet,Delhi,Singapore,Delayed
564,SpiceJet,Delhi,Singapore,Delayed
565,Emirates,Mumbai,Delhi,Delayed
566,Emirates,Dubai,Delhi,Delayed
567,SpiceJet,Dubai,Chennai,Cancelled
568,SpiceJet,Mumbai,London,On Time
569,Qatar Airways,Mumbai,Chennai,Cancelled
570,Emirates,London,Delhi,Cancelled
571,IndiGo,Singapore,London,Delayed
572,Qatar Airways,London,Chennai,Delayed
573,Emirates,Mumbai,London,Cancelled
574,Emirates,Dubai,Singapore,Cancelled
575,Qatar Airways,London,Mumbai,On Time
576,SpiceJet,Mumbai,Delhi,Cancelled
577,Emirates,Singapore,Delhi,Delayed
578,IndiGo,Mumbai,London,On Time
579,Qatar Airways,Chennai,Delhi,Delayed
580,Qatar Airways,London,Singapore,On Time
581,Emirates,Mumbai,Chennai,On Time
582,IndiGo,Delhi,Chennai,On Time
583,Air India,Singapore,Delhi,On Time
584,Emirates,Chennai,Singapore,Delayed
585,SpiceJet,Singapore,London,Delayed
586,IndiGo,London,Singapore,Cancelled
587,SpiceJet,London,Mumbai,Delayed
588,IndiGo,Delhi,Chennai,Delayed
589,Air India,London,Delhi,Delayed
590,IndiGo,Singapore,Dubai,Delayed
591,Emirates,London,Delhi,Delayed
592,Air India,London,Mumbai,On Time
593,Qatar Airways,Mumbai,Singapore,Cancelled
594,IndiGo,Singapore,Chennai,On Time
595,Emirates,Dubai,London,Delayed
596,Air India,Singapore,London,Delayed
597,Emirates,London,Chennai,Delayed
598,IndiGo,London,Dubai,On Time
599,SpiceJet,Delhi,Singapore,Cancelled
600,IndiGo,Mumbai,Dubai,Delayed
